   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   3.750000000E+00   1.697836858E+02   6.295034817E-03   1.190765666E-01   1.111814385E-02  -1.528056883E-01   8.698336603E-02   6.054044597E+02  -1.558445276E+01  -5.013384022E+02   9.523243972E-01   2.484518479E-01  -1.737875750E-01   3.387920469E-02
   3.800000000E+00   1.702806383E+02   1.298619737E-02   1.183299652E-01   1.055730726E-02  -1.518115233E-01   8.652719523E-02   6.133579343E+02  -1.577206698E+01  -4.983412292E+02   9.515126842E-01   2.484595822E-01  -1.779417643E-01   3.504534618E-02
   3.850000000E+00   1.707903332E+02   1.935982338E-02   1.175865647E-01   9.999580859E-03  -1.508050517E-01   8.609462844E-02   6.213083649E+02  -1.595909055E+01  -4.952654807E+02   9.506910714E-01   2.484503088E-01  -1.820664815E-01   3.620396608E-02
   3.900000000E+00   1.713126308E+02   2.511788749E-02   1.168518805E-01   9.466832126E-03  -1.497868908E-01   8.568378718E-02   6.292557487E+02  -1.614552981E+01  -4.921111916E+02   9.498598688E-01   2.484243382E-01  -1.861615719E-01   3.735568206E-02
   3.950000000E+00   1.718473899E+02   2.999034578E-02   1.161297550E-01   8.979534822E-03  -1.487577344E-01   8.529180376E-02   6.372000825E+02  -1.633139032E+01  -4.888783970E+02   9.490192515E-01   2.483824907E-01  -1.902268642E-01   3.850115254E-02
   4.000000000E+00   1.723944685E+02   3.374402448E-02   1.154221575E-01   8.556090938E-03  -1.477181912E-01   8.491493491E-02   6.451413630E+02  -1.651667672E+01  -4.855671321E+02   9.481692713E-01   2.483260588E-01  -1.942621642E-01   3.964105277E-02
   4.050000000E+00   1.729537235E+02   3.619026058E-02   1.147301029E-01   8.212222192E-03  -1.466686900E-01   8.454870475E-02   6.530795863E+02  -1.670139245E+01  -4.821774320E+02   9.473098734E-01   2.482567542E-01  -1.982672476E-01   4.077605112E-02
   4.100000000E+00   1.735250109E+02   3.719103363E-02   1.140546322E-01   7.960454170E-03  -1.456095105E-01   8.418807250E-02   6.610147483E+02  -1.688553962E+01  -4.787093319E+02   9.464409168E-01   2.481766418E-01  -2.022418524E-01   4.190678534E-02
   4.150000000E+00   1.741081860E+02   3.666337438E-02   1.133970884E-01   7.809711349E-03  -1.445408906E-01   8.382761957E-02   6.689468444E+02  -1.706911889E+01  -4.751628669E+02   9.455621974E-01   2.480880613E-01  -2.061856771E-01   4.303383921E-02
   4.200000000E+00   1.747031032E+02   3.458189005E-02   1.127586812E-01   7.765036074E-03  -1.434631205E-01   8.346174990E-02   6.768758696E+02  -1.725212937E+01  -4.715380722E+02   9.446734723E-01   2.479935411E-01  -2.100983818E-01   4.415771991E-02
